,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Buy and Hold,Parameter 1,Parameter 2,Week_Type_value,Week_Type,True Labels Strategy,Logistic_Regression_pred,KNN prediction p_1.5,Linear_Model_pred
10,2015-01-16,2015,1,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,2,2015-02,12.01,12.01,12.01,12.01,0.0,6.55,0.011794367327943256,6.55,6.55,+,93,95.0,0,1.69,green,103,0,0,19.459
11,2015-01-20,2015,1,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,3,2015-03,12.03,12.03,12.03,12.03,0.0,6.56,0.0016653207948866822,6.550833333333332,6.550833333333332,+,94,94.0,0,1.78,green,104,0,0,19.228
12,2015-01-21,2015,1,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,3,2015-03,12.06,12.06,12.06,12.06,0.0,6.58,0.002493937121551326,6.553076923076923,6.553076923076923,+,94,94.0,0,1.78,green,104,0,0,19.228
13,2015-01-22,2015,1,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,3,2015-03,12.19,12.19,12.19,12.19,0.0,6.65,0.010779378777562744,6.5600000000000005,6.5600000000000005,+,94,94.0,0,1.78,green,104,0,0,19.228
14,2015-01-23,2015,1,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,3,2015-03,12.19,12.19,12.19,12.19,0.0,6.65,0.0,6.5614285714285705,6.566,+,95,94.0,0,1.78,green,105,0,0,19.228
15,2015-01-26,2015,1,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,4,2015-04,12.19,12.19,12.19,12.19,0.0,6.65,0.0,6.57,6.57125,+,95,95.0,0,1.8,green,105,0,0,19.369
16,2015-01-27,2015,1,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,4,2015-04,12.02,12.02,12.02,12.02,0.0,6.56,-0.013945883074990116,6.5757142857142865,6.5705882352941165,-,95,95.0,0,1.8,green,105,0,0,19.369
17,2015-01-28,2015,1,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,4,2015-04,11.96,11.96,11.96,11.96,0.0,6.53,-0.004991659969562301,6.575,6.5683333333333325,-,93,95.0,0,1.8,green,106,0,0,19.369
18,2015-01-29,2015,1,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,4,2015-04,11.99,11.99,11.99,11.99,0.0,6.54,0.0025083142888870924,6.567857142857143,6.566842105263157,+,93,95.0,0,1.8,green,106,0,0,19.369
19,2015-01-30,2015,1,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,4,2015-04,11.94,11.94,11.94,11.94,0.0,6.52,-0.00417013686147083,6.562857142857142,6.5645,-,92,95.0,0,1.8,green,106,0,0,19.369
20,2015-02-02,2015,2,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,5,2015-05,12.03,12.03,12.03,12.03,0.0,6.56,0.007537620959470414,6.5635714285714295,6.564285714285713,+,92,92.0,0,1.74,green,106,0,0,18.765
